Compiler,N,Threads_per_block,total_cells_per_us
./runcuda,64,32,17.69972
./runcuda,64,64,18.686759
./runcuda,64,128,18.858993
./runcuda,64,256,18.830289
./runcuda,64,512,18.763783
./runcuda,64,1024,17.693008
./runcuda,128,32,63.780587
./runcuda,128,64,67.119436
./runcuda,128,128,30.031981
./runcuda,128,256,67.01
./runcuda,128,512,67.83
./runcuda,128,1024,65.238118
./runcuda,256,32,170.366902
./runcuda,256,64,192.334824
./runcuda,256,128,199.238958
./runcuda,256,256,201.323535
./runcuda,256,512,197.457299
./runcuda,256,1024,191.640578
./runcuda,512,32,285.039232
./runcuda,512,64,363.345709
./runcuda,512,128,256.047863
./runcuda,512,256,385.688727
./runcuda,512,512,375.829328
./runcuda,512,1024,368.168968
./runcuda,1024,32,370.916526
./runcuda,1024,64,279.504308
./runcuda,1024,128,453.059262
./runcuda,1024,256,456.298493
./runcuda,1024,512,389.294946
./runcuda,1024,1024,436.568301
./runcuda,2048,32,412.297722
./runcuda,2048,64,522.520737
./runcuda,2048,128,525.701834
./runcuda,2048,256,527.380185
./runcuda,2048,512,525.234211
./runcuda,2048,1024,514.355902
./runcuda,4096,32,423.077163
./runcuda,4096,64,554.252185
./runcuda,4096,128,544.883512
./runcuda,4096,256,533.862336
./runcuda,4096,512,538.697774
./runcuda,4096,1024,504.308848
./runcuda,8192,32,431.227282
./runcuda,8192,64,562.606699
./runcuda,8192,128,566.706458
./runcuda,8192,256,567.637323
./runcuda,8192,512,527.465438
./runcuda,8192,1024,564.953888
./runcuda,16384,32,432.996041
./runcuda,16384,64,564.755852
./runcuda,16384,128,569.699151
./runcuda,16384,256,555.931569
./runcuda,16384,512,568.293812
./runcuda,16384,1024,555.243589